Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,.1uF,C_0402_1005Metric,206.709,-75.166,90,top
C2,1uF,C_0402_1005Metric,214.6,-96.4,-90,top
C3,.1uF,C_0402_1005Metric,217.15,-90.35,0,top
C4,.1uF,C_0402_1005Metric,206.299,-70.688,180,top
C5,.1uF,C_0402_1005Metric,206.308,-69.582,180,top
C6,.1uF,C_0402_1005Metric,206.299,-68.454,180,top
C7,.1uF,C_0402_1005Metric,206.75,-89.75,90,top
C8,.1uF,C_0402_1005Metric,207.744,-77.46,180,top
C9,.1uF,C_0402_1005Metric,215.65,-95.45,-90,top
C10,1uF,C_0402_1005Metric,207,-84,-90,top
C11,.1uF,C_0402_1005Metric,209.32,-84.009,180,top
C12,.1uF,C_0402_1005Metric,211.712,-84.701,0,top
C13,10uF,C_0402_1005Metric,217.379,-73.99,0,top
C14,10uF,C_0402_1005Metric,204.541,-67.468,0,top
C15,33pF,C_0402_1005Metric,213.469,-95.274,90,top
C16,33pF,C_0402_1005Metric,211.09,-105.476,90,top
C17,.1uF,C_0402_1005Metric,215.898,-74.362,-90,top
D1,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,215.514,-109.773,180,top
D2,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,207.838,-105.449,0,top
D3,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,215.162,-105.221,180,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,210.963,-62.569,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,201.641,-62.011,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,220.164,-61.958,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,205.282,-110.104,90,top
R1,5.1K,R_0402_1005Metric,217.393,-66.229,0,top
R2,1K,R_0402_1005Metric,211.25,-101,90,top
R3,5.1K,R_0402_1005Metric,205.153,-64.611,90,top
R4,27,R_0402_1005Metric,214,-84,180,top
R5,27,R_0402_1005Metric,216.867,-79.045,-90,top
R6,10K,R_0402_1005Metric,206.727,-85.865,0,top
R7,1K,R_0402_1005Metric,206.4,-79.015,-90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,215.235,-100.334,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,211.4475,-89.306,0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,210.9315,-72.478,90,top
U3,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,211.599,-80.587,0,top
Y1,12_MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,216.512,-70.111,90,top
